Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Zimbabwe,159.0,178.0,0.0,4.0,0.0,29.0,145.0,0.0,12.0,0.3,46613.0,3140.0,14844179.0
Gibraltar,160.0,170.0,0.0,0.0,0.0,151.0,19.0,0.0,5046.0,0.0,7644.0,226879.0,33692.0
Guadeloupe,161.0,162.0,0.0,14.0,0.0,138.0,10.0,1.0,405.0,35.0,4137.0,10339.0,400119.0
Libya,162.0,156.0,0.0,5.0,0.0,52.0,99.0,0.0,23.0,0.7,5591.0,815.0,6863245.0
Guyana,163.0,153.0,0.0,12.0,0.0,70.0,71.0,2.0,195.0,15.0,1618.0,2058.0,786243.0
Brunei ,164.0,141.0,0.0,2.0,0.0,138.0,1.0,1.0,323.0,5.0,19516.0,44646.0,437127.0
Cayman Islands,165.0,141.0,0.0,1.0,0.0,68.0,72.0,0.0,2148.0,15.0,11139.0,169657.0,65656.0
Bermuda,166.0,140.0,0.0,9.0,0.0,92.0,39.0,2.0,2247.0,144.0,7171.0,115112.0,62296.0
Cambodia,167.0,125.0,0.0,0.0,0.0,123.0,2.0,1.0,7.0,0.0,20895.0,1251.0,16699008.0
Syria,168.0,123.0,1.0,5.0,0.0,46.0,72.0,0.0,7.0,0.3,0.0,0.0,17461550.0
Trinidad and Tobago,169.0,117.0,0.0,8.0,0.0,108.0,1.0,0.0,84.0,6.0,3138.0,2243.0,1399123.0
Comoros,170.0,106.0,0.0,2.0,0.0,26.0,78.0,0.0,122.0,2.0,0.0,0.0,867928.0
Bahamas,171.0,102.0,0.0,11.0,0.0,48.0,43.0,1.0,260.0,28.0,2091.0,5322.0,392929.0
Aruba,172.0,101.0,0.0,3.0,0.0,98.0,0.0,0.0,946.0,28.0,2134.0,19995.0,106729.0
Monaco,173.0,99.0,0.0,4.0,0.0,90.0,5.0,1.0,2524.0,102.0,16200.0,413065.0,39219.0
Barbados,174.0,92.0,0.0,7.0,0.0,76.0,9.0,1.0,320.0,24.0,5471.0,19040.0,287347.0
Angola,175.0,86.0,0.0,4.0,0.0,18.0,64.0,1.0,3.0,0.1,10000.0,305.0,32768267.0
Liechtenstein,176.0,82.0,0.0,1.0,0.0,55.0,26.0,0.0,2151.0,26.0,900.0,23610.0,38119.0
Sint Maarten,177.0,77.0,0.0,15.0,0.0,60.0,2.0,1.0,1798.0,350.0,461.0,10762.0,42835.0
Burundi,178.0,63.0,0.0,1.0,0.0,33.0,29.0,0.0,5.0,0.08,284.0,24.0,11857105.0
French Polynesia,179.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,214.0,0.0,4040.0,14389.0,280775.0
Macao,180.0,45.0,0.0,0.0,0.0,45.0,0.0,0.0,69.0,0.0,0.0,0.0,648573.0
Bhutan,181.0,43.0,0.0,0.0,0.0,6.0,37.0,0.0,56.0,0.0,17344.0,22499.0,770888.0
Saint Martin,182.0,41.0,0.0,3.0,0.0,33.0,5.0,1.0,1062.0,78.0,614.0,15903.0,38608.0
Eritrea,183.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,11.0,0.0,0.0,0.0,3542188.0
Botswana,184.0,38.0,3.0,1.0,0.0,20.0,17.0,0.0,16.0,0.4,21716.0,9251.0,2347367.0
Suriname,185.0,28.0,5.0,1.0,0.0,9.0,18.0,0.0,48.0,2.0,782.0,1334.0,586192.0
Antigua and Barbuda,186.0,26.0,0.0,3.0,0.0,19.0,4.0,1.0,266.0,31.0,183.0,1870.0,97861.0
St. Vincent Grenadines,187.0,26.0,0.0,0.0,0.0,15.0,11.0,0.0,234.0,0.0,593.0,5347.0,110912.0
Gambia,188.0,25.0,0.0,1.0,0.0,20.0,4.0,0.0,10.0,0.4,1756.0,729.0,2410277.0
Namibia,189.0,25.0,1.0,0.0,0.0,16.0,9.0,0.0,10.0,0.0,3970.0,1565.0,2536830.0
Timor-Leste,190.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,18.0,0.0,1290.0,980.0,1316208.0
Grenada,191.0,23.0,0.0,0.0,0.0,18.0,5.0,2.0,204.0,0.0,3516.0,31259.0,112481.0
New Caledonia,192.0,20.0,1.0,0.0,0.0,18.0,2.0,0.0,70.0,0.0,6681.0,23420.0,285267.0
Curaçao,193.0,19.0,0.0,1.0,0.0,14.0,4.0,0.0,116.0,6.0,572.0,3487.0,164039.0
Laos,194.0,19.0,0.0,0.0,0.0,16.0,3.0,0.0,3.0,0.0,7180.0,988.0,7266416.0
Belize,195.0,18.0,0.0,2.0,0.0,16.0,0.0,0.0,45.0,5.0,1572.0,3960.0,396989.0
Fiji,196.0,18.0,0.0,0.0,0.0,15.0,3.0,0.0,20.0,0.0,2431.0,2713.0,895908.0
Saint Lucia,197.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,98.0,0.0,1012.0,5513.0,183559.0
Dominica,198.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,222.0,0.0,433.0,6016.0,71972.0
Saint Kitts and Nevis,199.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,282.0,0.0,396.0,7448.0,53168.0
Falkland Islands,200.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,3746.0,0.0,503.0,144957.0,3470.0
Greenland,201.0,13.0,0.0,0.0,0.0,11.0,2.0,0.0,229.0,0.0,2141.0,37719.0,56762.0
Turks and Caicos,202.0,12.0,0.0,1.0,0.0,11.0,0.0,0.0,310.0,26.0,153.0,3956.0,38672.0
Vatican City,203.0,12.0,0.0,0.0,0.0,2.0,10.0,0.0,14981.0,0.0,0.0,0.0,801.0
Montserrat,204.0,11.0,0.0,1.0,0.0,10.0,0.0,0.0,2204.0,200.0,61.0,12220.0,4992.0
Seychelles,205.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,112.0,0.0,0.0,0.0,98297.0
MS Zaandam,206.0,9.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
