Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Mongolia,160.0,140.0,0.0,0.0,0.0,26.0,114.0,27.0,43.0,0.0,11750.0,3591.0,3272228.0
Benin,161.0,135.0,5.0,3.0,1.0,61.0,71.0,0.0,11.0,0.2,26792.0,2217.0,12084945.0
Guyana,162.0,127.0,2.0,10.0,0.0,57.0,60.0,3.0,162.0,13.0,1329.0,1691.0,786139.0
Bermuda,163.0,125.0,0.0,9.0,0.0,80.0,36.0,2.0,2006.0,144.0,5784.0,92838.0,62302.0
Cambodia,164.0,123.0,1.0,0.0,0.0,122.0,1.0,0.0,7.0,0.0,15572.0,933.0,16692685.0
Cayman Islands,165.0,121.0,10.0,1.0,0.0,55.0,65.0,0.0,1844.0,15.0,7959.0,121262.0,65635.0
Trinidad and Tobago,166.0,116.0,0.0,8.0,0.0,107.0,1.0,0.0,83.0,6.0,2805.0,2005.0,1398999.0
Aruba,167.0,101.0,0.0,3.0,0.0,95.0,3.0,4.0,946.0,28.0,2048.0,19191.0,106717.0
Bahamas,168.0,97.0,0.0,11.0,0.0,44.0,42.0,1.0,247.0,28.0,1910.0,4862.0,392826.0
Monaco,169.0,97.0,0.0,4.0,0.0,90.0,3.0,1.0,2474.0,102.0,0.0,0.0,39211.0
Barbados,170.0,90.0,0.0,7.0,0.0,70.0,13.0,4.0,313.0,24.0,4438.0,15445.0,287337.0
Liechtenstein,171.0,82.0,0.0,1.0,0.0,55.0,26.0,0.0,2151.0,26.0,900.0,23612.0,38116.0
Sint Maarten,172.0,77.0,0.0,15.0,0.0,54.0,8.0,7.0,1798.0,350.0,425.0,9925.0,42821.0
Malawi,173.0,72.0,1.0,3.0,0.0,27.0,42.0,1.0,4.0,0.2,1803.0,95.0,19070499.0
Libya,174.0,71.0,2.0,3.0,0.0,35.0,33.0,0.0,10.0,0.4,4351.0,634.0,6860692.0
French Polynesia,175.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,214.0,0.0,3686.0,13130.0,280731.0
Angola,176.0,58.0,6.0,3.0,0.0,17.0,38.0,0.0,2.0,0.09,6136.0,187.0,32740203.0
Syria,177.0,58.0,0.0,3.0,0.0,36.0,19.0,0.0,3.0,0.2,0.0,0.0,17449901.0
Zimbabwe,178.0,51.0,3.0,4.0,0.0,18.0,29.0,0.0,3.0,0.3,28019.0,1888.0,14838265.0
Macao,179.0,45.0,0.0,0.0,0.0,45.0,0.0,0.0,69.0,0.0,0.0,0.0,648331.0
Burundi,180.0,42.0,0.0,1.0,0.0,20.0,21.0,0.0,4.0,0.08,284.0,24.0,11847387.0
Saint Martin,181.0,40.0,0.0,3.0,0.0,33.0,4.0,1.0,1037.0,78.0,0.0,0.0,38590.0
Eritrea,182.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,11.0,0.0,0.0,0.0,3540846.0
Comoros,183.0,34.0,0.0,1.0,0.0,8.0,25.0,0.0,39.0,1.0,0.0,0.0,867421.0
Botswana,184.0,29.0,4.0,1.0,0.0,19.0,9.0,0.0,12.0,0.4,14855.0,6332.0,2346068.0
Antigua and Barbuda,185.0,25.0,0.0,3.0,0.0,19.0,3.0,1.0,256.0,31.0,183.0,1870.0,97839.0
Gambia,186.0,24.0,0.0,1.0,0.0,13.0,10.0,0.0,10.0,0.4,1476.0,613.0,2408415.0
Timor-Leste,187.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,18.0,0.0,738.0,561.0,1315521.0
Grenada,188.0,22.0,0.0,0.0,0.0,17.0,5.0,4.0,196.0,0.0,3007.0,26737.0,112466.0
Bhutan,189.0,21.0,0.0,0.0,0.0,6.0,15.0,0.0,27.0,0.0,14527.0,18850.0,770656.0
Laos,190.0,19.0,0.0,0.0,0.0,14.0,5.0,0.0,3.0,0.0,4812.0,662.0,7263530.0
Belize,191.0,18.0,0.0,2.0,0.0,16.0,0.0,0.0,45.0,5.0,1363.0,3435.0,396791.0
Fiji,192.0,18.0,0.0,0.0,0.0,15.0,3.0,0.0,20.0,0.0,1300.0,1451.0,895730.0
Namibia,193.0,18.0,2.0,0.0,0.0,14.0,4.0,0.0,7.0,0.0,2586.0,1020.0,2535571.0
New Caledonia,194.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,63.0,0.0,5454.0,19124.0,285193.0
Saint Lucia,195.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,98.0,0.0,786.0,4283.0,183536.0
St. Vincent Grenadines,196.0,18.0,0.0,0.0,0.0,14.0,4.0,0.0,162.0,0.0,175.0,1578.0,110902.0
Curaçao,197.0,16.0,0.0,1.0,0.0,14.0,1.0,0.0,98.0,6.0,485.0,2957.0,164020.0
Dominica,198.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,222.0,0.0,433.0,6017.0,71967.0
Saint Kitts and Nevis,199.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,282.0,0.0,391.0,7355.0,53158.0
Falkland Islands,200.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,3749.0,0.0,426.0,122837.0,3468.0
Turks and Caicos,201.0,12.0,0.0,1.0,0.0,10.0,1.0,0.0,310.0,26.0,109.0,2820.0,38658.0
Vatican City,202.0,12.0,0.0,0.0,0.0,2.0,10.0,0.0,14981.0,0.0,0.0,0.0,801.0
Montserrat,203.0,11.0,0.0,1.0,0.0,10.0,0.0,0.0,2204.0,200.0,36.0,7212.0,4992.0
Suriname,204.0,11.0,0.0,1.0,0.0,9.0,1.0,0.0,19.0,2.0,404.0,689.0,586049.0
Greenland,205.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,194.0,0.0,1767.0,31132.0,56759.0
Seychelles,206.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,112.0,0.0,0.0,0.0,98280.0
