OBJECTID,Place,תאריך,שעות שהייה,x,y
1939984,חצי חינם - ראשון לציון,20/7/2020,מ 2020-07-20 10:30 עד 2020-07-20 12:00,34.77286280000004,31.986744600000065
1939985,קניון שער ראשון - ראשון לציון,19/7/2020,מ 2020-07-19 10:00 עד 2020-07-19 12:00,34.78527070000007,31.96755200000007
1939986,שופרסל דיל - רחובות,21/7/2020,מ 2020-07-21 14:30 עד 2020-07-21 15:30,34.80788300000006,31.89430900000008
1939987,קניון איילון - רמת גן,21/7/2020,מ 2020-07-21 10:00 עד 2020-07-21 15:00,34.825458500000025,32.099078500000076
1939988,כיכר רבין - תל אביב יפו,21/7/2020,מ 2020-07-21 10:30 עד 2020-07-21 11:30,34.78061980000007,32.080484600000034
1939989,מלון מלכת שבא Queen of Sheba Eilat - אילת,19/7/2020,מ 2020-07-19 10:00 עד 2020-07-19 19:00,34.96179120000005,29.55039490000007
1939990,מלון מלכת שבא Queen of Sheba Eilat - אילת,22/7/2020,מ 2020-07-22 10:00 עד 2020-07-22 18:00,34.96179120000005,29.55039490000007
1939991,אייסמול אילת - ICE MALL EILAT - אילת,21/7/2020,מ 2020-07-21 19:00 עד 2020-07-21 20:30,34.965603000000044,29.55410900000004
1939992,"היקב 10, ראשון לציון",22/7/2020,מ 2020-07-22 15:11 עד 2020-07-22 15:20,34.77932590000006,31.973988000000077
1939993,סי אנד סאן/רוזנבלום - תל אביב יפו,20/7/2020,מ 2020-07-20 13:00 עד 2020-07-20 15:00,34.79130100000003,32.13805700000006
1939994,"המרכז הרפואי ע""ש אדית וולפסון - חולון",22/7/2020,מ 2020-07-22 16:20 עד 2020-07-22 17:00,34.76270740000007,32.03603090000007
1939995,בית חולים לניאדו צאנז - נתניה,22/7/2020,מ 2020-07-22 20:00 עד 2020-07-22 22:00,34.85589600000003,32.345488000000046
1939996,קניון עופר רחובות - רחובות,19/7/2020,מ 2020-07-19 19:00 עד 2020-07-19 20:00,34.80682420000005,31.89330680000006
